file,run,status,sparsity_mode,shape,dtype,a_sparsity,b_sparsity,a_label,b_label,total_cycles,body_cycles,tcu_utilization
run_s_1.stat,1,PASS,0,64x64x512,fp8,0.0976562,0.125122,0,0,87072,70420,93.06
run_s_56.stat,56,PASS,1,64x64x512,fp8,0.0976562,20.2606,0,20,91373,70839,92.46
run_s_2.stat,2,PASS,2,64x64x512,fp8,20.4224,20.2606,20,20,83367,63100,84.15
run_s_8.stat,8,PASS,2,64x64x512,fp8,30.4535,20.2606,30,20,77306,57041,81.59
run_s_14.stat,14,PASS,2,64x64x512,fp8,40.2161,20.2606,40,20,70835,50570,79.43
run_s_20.stat,20,PASS,2,64x64x512,fp8,50.1648,20.2606,50,20,63899,43634,77.11
run_s_26.stat,26,PASS,2,64x64x512,fp8,59.9976,20.2606,60,20,57303,37036,73.59
run_s_32.stat,32,PASS,2,64x64x512,fp8,70.0745,20.2606,70,20,50604,30337,68.02
run_s_38.stat,38,PASS,2,64x64x512,fp8,80.0323,20.2606,80,20,46266,25999,54.26
run_s_44.stat,44,PASS,2,64x64x512,fp8,90.1306,20.2606,90,20,44472,24205,31.23
run_s_50.stat,50,PASS,2,64x64x512,fp8,99.0051,20.2606,99,20,43110,22843,11.45
run_s_57.stat,57,PASS,1,64x64x512,fp8,0.0976562,39.8254,0,40,89927,69395,87.1
run_s_3.stat,3,PASS,2,64x64x512,fp8,20.4224,39.8254,20,40,80232,59965,81.74
run_s_9.stat,9,PASS,2,64x64x512,fp8,30.4535,39.8254,30,40,73859,53594,80.16
run_s_15.stat,15,PASS,2,64x64x512,fp8,40.2161,39.8254,40,40,67520,47255,78.47
run_s_21.stat,21,PASS,2,64x64x512,fp8,50.1648,39.8254,50,40,60702,40435,76.78
run_s_27.stat,27,PASS,2,64x64x512,fp8,59.9976,39.8254,60,40,54546,34279,73.37
run_s_33.stat,33,PASS,2,64x64x512,fp8,70.0745,39.8254,70,40,48255,27988,67.99
run_s_39.stat,39,PASS,2,64x64x512,fp8,80.0323,39.8254,80,40,43874,23609,55.12
run_s_45.stat,45,PASS,2,64x64x512,fp8,90.1306,39.8254,90,40,42098,21833,31.92
run_s_51.stat,51,PASS,2,64x64x512,fp8,99.0051,39.8254,99,40,40737,20470,12.35
run_s_58.stat,58,PASS,1,64x64x512,fp8,0.0976562,59.6832,0,60,81515,60983,58.45
run_s_4.stat,4,PASS,2,64x64x512,fp8,20.4224,59.6832,20,60,71670,51403,56.23
run_s_10.stat,10,PASS,2,64x64x512,fp8,30.4535,59.6832,30,60,65561,45296,55.95
run_s_16.stat,16,PASS,2,64x64x512,fp8,40.2161,59.6832,40,60,59682,39415,55.53
run_s_22.stat,22,PASS,2,64x64x512,fp8,50.1648,59.6832,50,60,53855,33590,54.58
run_s_28.stat,28,PASS,2,64x64x512,fp8,59.9976,59.6832,60,60,48555,28288,52.48
run_s_34.stat,34,PASS,2,64x64x512,fp8,70.0745,59.6832,70,60,43467,23200,48.53
run_s_40.stat,40,PASS,2,64x64x512,fp8,80.0323,59.6832,80,60,41309,21044,36.61
run_s_46.stat,46,PASS,2,64x64x512,fp8,90.1306,59.6832,90,60,39551,19286,21.5
run_s_52.stat,52,PASS,2,64x64x512,fp8,99.0051,59.6832,99,60,38364,18097,11.67
run_s_59.stat,59,PASS,1,64x64x512,fp8,0.0976562,79.9988,0,80,70058,49524,66.16
run_s_5.stat,5,PASS,2,64x64x512,fp8,20.4224,79.9988,20,80,63231,42964,61.82
run_s_11.stat,11,PASS,2,64x64x512,fp8,30.4535,79.9988,30,80,58325,38060,61.17
run_s_17.stat,17,PASS,2,64x64x512,fp8,40.2161,79.9988,40,80,53628,33361,60.24
run_s_23.stat,23,PASS,2,64x64x512,fp8,50.1648,79.9988,50,80,49044,28777,58.49
run_s_29.stat,29,PASS,2,64x64x512,fp8,59.9976,79.9988,60,80,44628,24361,55.97
run_s_35.stat,35,PASS,2,64x64x512,fp8,70.0745,79.9988,70,80,40568,20303,50.84
run_s_41.stat,41,PASS,2,64x64x512,fp8,80.0323,79.9988,80,80,38451,18184,38.83
